word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
mão	103	238	0	341	0.009248240904984464	0.0023262642003749126	0.0022836307810401076	118.97862065496251	1.0586438911140095e-27	0.21390674579906205	0.19540973662758074	0.0
cabelo	12	10	0	22	0.4770669831877691	0.00027102107188833934	9.595087315294569e-05	13.864583333333334	0.0001964661565271822	0.8049244312826275	-0.2334358201246473	0.0
pêlo	0	7	0	7	-1.0	0.0	6.716561120706198e-05	0.0	0.0	0.0	0.5550215402396229	0.0
olho	125	178	4	307	0.24612567546898662	0.0028231361655035344	0.0017079255421224332	145.32978737953476	1.8191218449154825e-33	0.512526224568047	0.009957342944510833	-2.637109875585553
dente	2	8	0	10	-0.25908548029346523	4.5170178648056556e-05	7.676069852235655e-05	0.5555555555555556	0.456056540250256	-0.19837767758115737	0.3318779889254133	0.0
braço	67	126	0	193	0.1117559312707686	0.0015132009847098945	0.0012089810017271157	78.67009778692744	7.339820036157938e-19	0.35306266533902364	0.12861325828621537	0.0
joelho	19	31	0	50	0.18122136134124442	0.00042911669715653725	0.0002974477067741316	21.05263157894737	4.468387345230037e-06	0.4434762085912373	0.07698573929662318	0.0
osso	6	7	0	13	0.33721247269472954	0.00013551053594416967	6.716561120706198e-05	5.416666666666667	0.019945403395459017	0.6378703466194611	-0.0640176681666005	0.0
unha	2	10	0	12	-0.3598378403280047	4.5170178648056556e-05	9.595087315294569e-05	0.5454545454545454	0.46018093544712013	-0.3806992343751122	0.37269998344566824	0.0
pé	66	108	0	174	0.17980494039845507	0.0014906158953858662	0.0010362694300518134	78.99742101869762	6.21910670166745e-19	0.44165967766483943	0.07809746814931365	0.0
ombro	1	14	0	15	-0.712138412203873	2.2585089324028278e-05	0.00013433122241412397	0.0	1.0	-1.296989966249267	0.48602866875267153	0.0
perna	4	16	0	20	-0.25908548029346523	9.034035729611311e-05	0.0001535213970447131	2.5	0.11384629800665763	-0.19837767758115737	0.3318779889254133	0.0
pulso	2	5	0	7	-0.030116908043971317	4.5170178648056556e-05	4.797543657647284e-05	0.5833333333333334	0.4450087187467361	0.15829726635757482	0.21854930361840974	0.0
cabeça	0	14	0	14	-1.0	0.0	0.00013433122241412397	0.0	0.0	0.0	0.5550215402396229	0.0
face	15	15	0	30	0.403664720499404	0.00033877633986042414	0.00014392630972941855	17.42222222222222	2.9930622223033853e-05	0.7179130542929977	-0.13812564032032243	0.0
corpo	4	7	0	11	0.14713566926566315	9.034035729611311e-05	6.716561120706198e-05	2.75	0.09725442843900337	0.3994593231744629	0.1030364164965657	0.0
dedo	4	8	0	12	0.08126614584954407	9.034035729611311e-05	7.676069852235655e-05	2.7	0.10034824646229054	0.3124479461848331	0.1495564321314586	0.0
língua	4	25	0	29	-0.4528433756287714	9.034035729611311e-05	0.00023987718288236422	2.4166666666666665	0.12005013969085772	-0.5699412340136405	0.40660153512134967	0.0
peito	0	4	0	4	-1.0	0.0	3.8380349261178276e-05	0.0	0.0	0.0	0.555021540239623	0.0
orelha	0	8	0	8	-1.0	0.0	7.676069852235655e-05	0.0	0.0	0.0	0.555021540239623	0.0
coluna	0	2	0	2	-1.0	0.0	1.9190174630589138e-05	0.0	0.0	0.0	0.555021540239623	0.0
sorriso	2	1	0	3	0.6495922316266813	4.5170178648056556e-05	9.595087315294569e-06	0.75	0.3864762307712325	1.0055951267447785	-0.5435907484284866	0.0
pálpebra	2	3	0	5	0.22155120124475855	4.5170178648056556e-05	2.878526194588371e-05	0.625	0.42919530044034926	0.49476950297878797	0.04419591647363228	0.0
punho	0	1	0	1	-1.0	0.0	9.595087315294569e-06	0.0	0.0	0.0	0.555021540239623	0.0
bochecha	0	2	0	2	-1.0	0.0	1.9190174630589138e-05	0.0	0.0	0.0	0.555021540239623	0.0
boca	0	1	0	1	-1.0	0.0	9.595087315294569e-06	0.0	0.0	0.0	0.555021540239623	0.0
cílio	4	0	0	4	1.0	9.034035729611311e-05	0.0	4.5	0.033894853524689295	1.4110602348529429	0.0	0.0
junta	1	0	0	1	1.0	2.2585089324028278e-05	0.0	0.0	1.0	1.4110602348529429	0.0	0.0
coxa	4	0	0	4	1.0	9.034035729611311e-05	0.0	4.5	0.033894853524689295	1.4110602348529429	0.0	0.0
