<text id="machado1908">
<s>
me	P	me
lembram	V	lembrar
coisas	NOM	coisa
e	CONJ	e
pessoas	NOM	pessoa
de	PRP	de
longe	ADV	longe
,	VIRG	,
diversões	NOM	diversão
,	VIRG	,
paisagens	NOM	paisagem
,	VIRG	,
costumes	NOM	costume
,	VIRG	,
mas	CONJ	mas
não	ADV	não
morro	NOM	morro
de	PRP	de
saudades	NOM	saudade
por	PRP	por
nada	P	nada
.	SENT	.
</s>
<s>
Aqui	ADV	aqui
estou	V	estar
,	VIRG	,
aqui	ADV	aqui
vivo	ADJ	vivo
,	VIRG	,
aqui	ADV	aqui
morrerei	V	morrer
.	SENT	.
</s>
<s>
Cinco	CARD	cinco
horas	NOM	hora
da	PRP+DET	de
tarde	NOM	tarde
Recebi	V	receber
agora	ADV	agora
um	DET	um
bilhete	NOM	bilhete
de	PRP	de
mana	NOM	mano
Rita	NOM	Rita
,	VIRG	,
que	PR	que
aqui	ADV	aqui
vai	V	ir
colado	V	colar
:	SENT	:
9	CARD	@card@
de	PRP	de
janeiro	NOM	janeiro
Mano	NOM	mano
,	VIRG	,
Só	NOM	só
agora	ADV	agora
me	P	me
lembrou	V	lembrar
que	CONJSUB	que
faz	V	fazer
hoje	ADV	hoje
um	DET	um
ano	NOM	ano
que	PR	que
você	P	você
voltou	V	voltar
da	PRP+DET	de
Europa	NOM	Europa
aposentado	NOM	aposentado
.	SENT	.
</s>
<s>
Já	ADV	já
é	V	ser
tarde	ADV	tarde
para	PRP	para
ir	V	ir
ao	PRP+DET	a
cemitério	NOM	cemitério
de	PRP	de
São	NOM	São
João	NOM	João
Batista	NOM	batista
,	VIRG	,
em	PRP	em
visita	NOM	visita
ao	PRP+DET	a
jazigo	NOM	jazigo
da	PRP+DET	de
família	NOM	família
,	VIRG	,
dar	V	dar
graças	NOM	graça
pelo	PRP+DET	por
seu	ADJ	seu
regresso	NOM	regresso
;	SENT	;
irei	V	ir
amanhã	ADV	amanhã
de	PRP	de
manhã	NOM	manhã
,	VIRG	,
e	CONJ	e
peço	V	pedir
a	PRP	a
você	P	você
que	PR	que
me	P	me
espere	V	esperar
para	PRP	para
ir	V	ir
comigo	P	comigo
.	SENT	.
</s>
<s>
Saudades	NOM	saudade
da	PRP+DET	de
Velha	NOM	velho
mana	NOM	mano
,	VIRG	,
Rita	NOM	Rita
.	SENT	.
</s>
<s>
Não	ADV	não
vejo	V	ver
necessidade	NOM	necessidade
disso	PRP+P	de
,	VIRG	,
mas	CONJ	mas
respondi	V	responder
que	CONJSUB	que
sim	ADV	sim
.	SENT	.
</s>
<s>
10	CARD	@card@
de	PRP	de
janeiro	NOM	janeiro
Fomos	NOM	fomo
ao	PRP+DET	a
cemitério	NOM	cemitério
.	SENT	.
</s>
<s>
Rita	NOM	Rita
,	VIRG	,
apesar	L	apesar
da	PRP+DET	de
alegria	NOM	alegria
do	PRP+DET	de
motivo	NOM	motivo
,	VIRG	,
não	ADV	não
pôde	V	poder
reter	V	reter
algumas	P	alguma
velhas	ADJ	velho
lágrimas	NOM	lágrima
de	PRP	de
saudade	NOM	saudade
pelo	PRP+DET	por
marido	NOM	marido
que	PR	que
lá	ADV	lá
está	V	estar
no	PRP+DET	em
jazigo	NOM	jazigo
,	VIRG	,
com	PRP	com
meu	ADJ	meu
pai	NOM	pai
e	CONJ	e
minha	ADJ	minha
mãe	NOM	mãe
.	SENT	.
</s>
<s>
Ela	P	ela
ainda	ADV	ainda
agora	ADV	agora
o	P	o
ama	V	amar
,	VIRG	,
como	CONJ	como
no	PRP+DET	em
dia	NOM	dia
em	PRP	em
que	PR	que
o	P	o
perdeu	V	perder
,	VIRG	,
lá	ADV	lá
se	P	se
vão	V	ir
tantos	DET	tanto
anos	NOM	ano
.	SENT	.
</s>
<s>
No	PRP+DET	em
caixão	NOM	caixão
do	PRP+DET	de
defunto	NOM	defunto
mandou	V	mandar
guardar	V	guardar
um	DET	um
molho	NOM	molho
dos	PRP+DET	de
seus	ADJ	seu
cabelos	NOM	cabelo
,	VIRG	,
então	ADV	então
pretos	ADJ	preto
,	VIRG	,
enquanto	CONJ	enquanto
os	DET	o
mais	ADV	mais
deles	PRP+P	de
ficaram	V	ficar
a	PRP	a
embranquecer	V	embranquecer
cá	ADV	cá
fora	NOM	fora
.	SENT	.
</s>
<s>
Não	ADV	não
é	V	ser
feio	ADJ	feio
o	DET	o
nosso	ADJ	nosso
jazigo	NOM	jazigo
;	SENT	;
podia	V	poder
ser	V	ser
um	DET	um
pouco	ADV	pouco
mais	ADV	mais
simples	ADJ	simples
,	VIRG	,
a	DET	a
inscrição	NOM	inscrição
e	CONJ	e
uma	DET	uma
cruz	NOM	cruz
,	VIRG	,
mas	CONJ	mas
o	DET	o
que	PR	que
está	V	estar
é	V	ser
bem	ADV	bem
feito	V	fazer
.	SENT	.
</s>
<s>
Achei-o	V+P	achar
novo	ADJ	novo
demais	ADV	demais
,	VIRG	,
isso	P	isso
sim	ADV	sim
.	SENT	.
</s>
<s>
Rita	NOM	Rita
fá-lo	V+P	fazer
lavar	V	lavar
todos	ADJ	todo
os	DET	o
meses	NOM	mês
,	VIRG	,
e	CONJ	e
isto	P	isto
impede	V	impedir
que	CONJSUB	que
envelheça	V	envelhecer
.	SENT	.
</s>
<s>
Ora	CONJ	ora
,	VIRG	,
eu	P	eu
creio	V	crer
que	CONJSUB	que
um	DET	um
velho	ADJ	velho
túmulo	NOM	túmulo
dá	V	dar
melhor	ADJ	melhor
impressão	NOM	impressão
do	PRP+DET	de
oficio	V	oficiar
,	VIRG	,
se	P	se
tem	V	ter
as	DET	a
negruras	NOM	negrura
do	PRP+DET	de
tempo	NOM	tempo
,	VIRG	,
que	PR	que
tudo	P	tudo
consome	V	consumir
.	SENT	.
</s>
<s>
O	DET	o
contrário	NOM	contrário
parece	V	parecer
sempre	ADV	sempre
da	PRP+DET	de
véspera	NOM	véspera
.	SENT	.
</s>
<s>
Rita	NOM	Rita
orou	V	orar
diante	PRP	diante
dele	PRP+P	de
alguns	ADJ	algum
minutos	NOM	minuto
,	VIRG	,
enquanto	CONJ	enquanto
eu	P	eu
circulava	V	circular
os	DET	o
olhos	NOM	olho
pelas	PRP+DET	por
sepulturas	NOM	sepultura
próximas	ADJ	próximo
.	SENT	.
</s>
<s>
Em	PRP	em
quase	ADV	quase
todas	P	toda
havia	V	haver
a	DET	a
mesma	ADJ	mesmo
antiga	ADJ	antigo
súplica	NOM	súplica
da	PRP+DET	de
nossa	ADJ	nossa
:	SENT	:
"	QUOTE	"
Orai	V	orar
por	PRP	por
ele	P	ele
!	SENT	!
Orai	V	orar
por	PRP	por
ela	P	ela
!	SENT	!
"	QUOTE	"
Rita	NOM	Rita
me	P	me
disse	V	dizer
depois	ADV	depois
,	VIRG	,
em	PRP	em
caminho	NOM	caminho
,	VIRG	,
que	PR	que
é	V	ser
seu	ADJ	seu
costume	NOM	costume
atender	V	atender
ao	PRP+DET	a
pedido	NOM	pedido
das	PRP+DET	de
outras	ADJ	outro
,	VIRG	,
rezando	V	rezar
uma	DET	uma
prece	NOM	prece
por	PRP	por
todos	ADJ	todo
os	DET	o
que	PR	que
ali	ADV	ali
estão	V	estar
.	SENT	.
</s>
<s>
Talvez	ADV	talvez
seja	V	ser
a	DET	a
única	ADJ	único
.	SENT	.
</s>
<s>
A	DET	a
mana	NOM	mano
é	V	ser
boa	ADJ	bom
criatura	NOM	criatura
,	VIRG	,
não	ADV	não
menos	ADV	menos
que	CONJSUB	que
alegre	ADJ	alegre
.	SENT	.
</s>
<s>
A	DET	a
impressão	NOM	impressão
que	PR	que
me	P	me
dava	V	dar
o	DET	o
total	NOM	total
do	PRP+DET	de
cemitério	NOM	cemitério
é	V	ser
a	DET	a
que	PR	que
me	P	me
deram	V	dar
sempre	ADV	sempre
outros	ADJ	outro
;	SENT	;
tudo	P	tudo
ali	ADV	ali
estava	V	estar
parado	ADJ	parado
.	SENT	.
</s>
<s>
Os	DET	o
gestos	NOM	gesto
das	PRP+DET	de
figuras	NOM	figura
,	VIRG	,
anjos	NOM	anjo
e	CONJ	e
outras	ADJ	outro
,	VIRG	,
eram	V	ser
diversos	ADJ	diverso
,	VIRG	,
mas	CONJ	mas
imóveis	NOM	imóvel
.	SENT	.
</s>
<s>
Só	ADV	só
alguns	ADJ	algum
pássaros	NOM	pássaro
davam	V	dar
sinal	NOM	sinal
de	PRP	de
vida	NOM	vida
,	VIRG	,
buscando-se	V+P	buscar
entre	PRP	entre
si	P	si
e	CONJ	e
pousando	V	pousar
nas	PRP+DET	em
ramagens	NOM	ramagem
,	VIRG	,
pipilando	V	pipilar
ou	CONJ	ou
gorjeando	V	gorjear
.	SENT	.
</s>
<s>
Os	DET	o
arbustos	NOM	arbusto
viviam	V	viver
calados	ADJ	calado
,	VIRG	,
na	PRP+DET	em
verdura	NOM	verdura
e	CONJ	e
nas	PRP+DET	em
flores	NOM	flor
.	SENT	.
</s>
<s>
Já	ADV	já
perto	ADV	perto
do	PRP+DET	de
portão	NOM	portão
,	VIRG	,
à	PRP+DET	a
saída	NOM	saída
,	VIRG	,
falei	V	falar
a	DET	a
mana	ADJ	mano
Rita	NOM	Rita
de	PRP	de
uma	DET	uma
senhora	NOM	senhor
que	PR	que
eu	P	eu
vira	V	ver
ao	PRP+DET	a
pé	NOM	pé
de	PRP	de
outra	ADJ	outro
sepultura	NOM	sepultura
,	VIRG	,
ao	PRP+DET	a
lado	NOM	lado
esquerdo	ADJ	esquerdo
do	PRP+DET	de
cruzeiro	NOM	cruzeiro
,	VIRG	,
enquanto	CONJ	enquanto
ela	P	ela
rezava	V	rezar
.	SENT	.
</s>
<s>
Era	V	ser
moça	NOM	moço
,	VIRG	,
vestia	V	vestir
de	PRP	de
preto	ADJ	preto
,	VIRG	,
e	CONJ	e
parecia	V	parecer
rezar	V	rezar
também	ADV	também
,	VIRG	,
com	PRP	com
as	DET	a
mãos	NOM	mão
cruzadas	ADJ	cruzado
e	CONJ	e
pendentes	ADJ	pendente
.	SENT	.
</s>
<s>
A	DET	a
cara	NOM	cara
não	ADV	não
me	P	me
era	V	ser
estranha	ADJ	estranho
,	VIRG	,
sem	PRP	sem
atinar	V	atinar
quem	PR	quem
fosse	V	fossar
.	SENT	.
</s>
<s>
E	CONJ	e
bonita	ADJ	bonito
,	VIRG	,
e	CONJ	e
gentilíssima	ADJ	gentil
,	VIRG	,
como	CONJ	como
ouvi	V	ouvir
dizer	V	dizer
de	PRP	de
outras	P	outra
em	PRP	em
Roma	NOM	Roma
.	SENT	.
</s>
<s>
Onde	ADV	onde
está	V	estar
?	SENT	?
Disse-lhe	V+P	dizer
onde	ADV	onde
estava	V	estar
.	SENT	.
</s>
<s>
Quis	V	querer
ver	V	ver
quem	PR	quem
era	V	ser
.	SENT	.
</s>
<s>
Rita	NOM	Rita
,	VIRG	,
além	ADV	além
de	PRP	de
boa	ADJ	bom
pessoa	NOM	pessoa
,	VIRG	,
é	V	ser
curiosa	ADJ	curioso
,	VIRG	,
sem	PRP	sem
todavia	CONJ	todavia
chegar	V	chegar
ao	PRP+DET	a
superlativo	NOM	superlativo
romano	ADJ	romano
.	SENT	.
</s>
<s>
Respondi-lhe	V+P	responder
que	CONJSUB	que
esperássemos	V	esperar
ali	ADV	ali
mesmo	ADJ	mesmo
,	VIRG	,
ao	PRP+DET	a
portão	NOM	portão
.	SENT	.
</s>
<s>
Não	ADV	não
!	SENT	!
pode	V	poder
não	ADV	não
vir	V	ver
tão	ADV	tão
cedo	ADV	cedo
,	VIRG	,
vamos	I	vamos
espiá-la	V+P	espiar
de	PRP	de
longe	ADV	longe
.	SENT	.
</s>
<s>
É	V	ser
assim	ADV	assim
bonita	ADJ	bonito
?	SENT	?
Pareceu-me	V+P	parecer
.	SENT	.
</s>
<s>
Entramos	V	entrar
e	CONJ	e
enfiamos	V	enfiar
por	PRP	por
um	DET	um
caminho	NOM	caminho
entre	PRP	entre
campas	NOM	campa
,	VIRG	,
naturalmente	ADV	naturalmente
.	SENT	.
</s>
<s>
A	DET	a
alguma	ADJ	alguma
distância	NOM	distância
,	VIRG	,
Rita	NOM	Rita
deteve-se	V+P	deter
.	SENT	.
</s>
<s>
Você	P	você
conhece	V	conhecer
,	VIRG	,
sim	ADV	sim
.	SENT	.
</s>
<s>
Já	ADV	já
a	P	a
viu	V	ver
lá	ADV	lá
em	PRP	em
casa	NOM	casa
,	VIRG	,
há	V	haver
dias	NOM	dia
.	SENT	.
</s>
<s>
Quem	PR	quem
é	V	ser
?	SENT	?
É	V	ser
a	DET	a
viúva	NOM	viúvo
Noronha	NOM	Noronha
.	SENT	.
</s>
<s>
Vamos	I	vamos
embora	ADV	embora
,	VIRG	,
antes	ADV	antes
que	PR	que
nos	P	nos
veja	V	ver
.	SENT	.
</s>
<s>
Já	ADV	já
