word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
ajeitar se	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
alevantar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
sair	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
jantar	0	4	4	-1.0	0.0	0.005873715124816446	0.1110740227854269	0.738924673793631	-inf	0.30445100224307287
tocar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
consagrar	0	8	8	-1.0	0.0	0.011747430249632892	0.8556293528562307	0.3549646835490331	-inf	0.30445100224307287
empedernido	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
sofrer	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
estar	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
dir	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
gostar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
duvidar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
contar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
ligar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
virou	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
isolar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
ler	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
dirigia-se	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
encontrar se	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
basta	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
vagar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
dançar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
exigir	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
exercer	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
conheci	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
vester	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
traçar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
convidar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
chamar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
desfilar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
fugir	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
despeder	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
entoar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
oferecer	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
circular	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
chegar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
testando	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
executar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
incitar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
rebuscar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
imitar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
quebrar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
assistir	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
engrandecer	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
dar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
pensar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
tratei	0	3	3	-1.0	0.0	0.004405286343612335	0.010869199479975274	0.9169666285568563	-inf	0.30445100224307314
matar	0	2	2	-1.0	0.0	0.002936857562408223	0.0	1.0	-inf	0.30445100224307287
suceder	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
punir	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
retratar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
enganar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
seguir	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
reaparecer	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
demorar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
calaram-se	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
tornar se	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
agradar	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
vi	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
trair	0	1	1	0.0	0.0	0.0	0.0	0.0	-inf	0.30445100224307287
