word	female	male	total	skewness	pct_f	pct_m	chi2	p	pmi_f	pmi_m
zaina	4	0	4	1.0	0.025	0.0	12.232631274402536	0.000469609244103002	2.394033895367782	-inf
esposo	3	0	3	1.0	0.01875	0.0	8.082264123587791	0.0044700562833325875	2.394033895367782	-inf
mister	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
terreno	1	0	1	0.0	0.0	0.0	0.0	0.0	2.394033895367782	-inf
fabiana	52	0	52	1.0	0.325	0.0	230.34228696272547	5.0199078283008445e-52	2.394033895367782	-inf
filha	41	8	49	0.91233176945995	0.25625	0.011747430249632892	136.7381115346376	1.375851598260855e-31	2.1368760558706574	-2.3102588418721353
lacuna	12	0	12	1.0	0.075	0.0	46.61917968503214	8.62122990291405e-12	2.394033895367782	-inf
formação	12	0	12	1.0	0.075	0.0	46.61917968503214	8.62122990291405e-12	2.394033895367782	-inf
patrícia	28	1	29	0.9833576034949031	0.175	0.0014684287812041115	112.02920345932976	3.520856350224519e-26	2.3434078222978143	-4.553529992884499
advogado	8	9	17	0.5818815331010453	0.05	0.013215859030837005	7.091475186935605	0.007745146827235208	1.3065710541174422	-0.6130868375649543
protagonista	4	0	4	1.0	0.025	0.0	12.232631274402536	0.000469609244103002	2.394033895367782	-inf
argumento	4	4	8	0.619500594530321	0.025	0.005873715124816446	3.2050847903175588	0.07340970358263582	1.3940338953677818	-0.6955489977569271
afeto	4	0	4	1.0	0.025	0.0	12.232631274402536	0.000469609244103002	2.394033895367782	-inf
carol	14	7	21	0.7897503285151117	0.0875	0.010279001468428781	28.639782317504874	8.717274649784282e-08	1.8090713946466257	-1.2805114984780832
exemplo	4	2	6	0.7897503285151118	0.025	0.002936857562408223	6.061157718062407	0.013818706563698773	1.8090713946466257	-1.2805114984780834
bacharel	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
cuidado	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
volição	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
sereia	11	1	12	0.9581754019082473	0.06875	0.0014684287812041115	37.05203513875124	1.1501847103490344e-09	2.268503013283923	-3.280511498478084
maria	14	0	14	1.0	0.0875	0.0	55.36888167271547	9.990558063221627e-14	2.394033895367782	-inf
ver	5	3	8	0.752895752895753	0.03125	0.004405286343612335	7.265006126693517	0.007031102902913063	1.7159619902551446	-1.1105864970357706
bruxa	6	0	6	1.0	0.0375	0.0	20.699393614111724	5.373301534703215e-06	2.394033895367782	-inf
morte	5	0	5	1.0	0.03125	0.0	16.44734437959323	5.002020277972814e-05	2.394033895367782	-inf
jair	6	17	23	0.20070526006464884	0.0375	0.024963289280469897	0.3667505956808881	0.5447808214838106	0.45543444003192524	-0.1316481125636003
jéssica	6	10	16	0.4372142103411889	0.0375	0.014684287812041116	2.494625564740188	0.11423554220596124	0.9789963960889383	-0.37362090286956456
deixar	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
primogênita	4	2	6	0.7897503285151118	0.025	0.002936857562408223	6.061157718062407	0.013818706563698773	1.8090713946466257	-1.2805114984780834
filme	2	1	3	0.7897503285151118	0.0125	0.0014684287812041115	1.875087732815178	0.1708935108822436	1.8090713946466257	-1.2805114984780834
voltar	13	0	13	1.0	0.08125	0.0	50.98799233618541	9.293273266621036e-13	2.394033895367782	-inf
deus	13	0	13	1.0	0.08125	0.0	50.98799233618541	9.293273266621036e-13	2.394033895367782	-inf
