word	female	male	total	skewness	pct_f	pct_m	chi2	p
social	39	94	133	0.1723090936693487	0.6724137931034483	0.47474747474747475	6.2521438545518935	0.012404308742009273
outro	4	15	19	-0.04693140794223828	0.06896551724137931	0.07575757575757576	0.0	1.0
carater	5	17	22	0.002024291497975755	0.08620689655172414	0.08585858585858586	0.0	1.0
aparencia	9	61	70	-0.3300751879699248	0.15517241379310345	0.30808080808080807	4.5377921382370765	0.033154328378800196
carater_emo	0	3	3	0.0	0.0	0.0	0.0	0.0
carater_social	0	5	5	0.0	0.0	0.0	0.0	0.0
aparencia_carater	1	3	4	0.0	0.0	0.0	0.0	0.0
