word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
pé	87	78	0	165	0.5697793241980708	0.005418872625350358	0.001485120237619238	115.44770824464311	6.2793174030521834e-27	1.0039148143011616	-0.2904772397412582	0.0
ombro	4	13	0	17	0.0032688712246208757	0.00024914356898162566	0.00024752003960320634	2.55	0.11029425524455443	0.19703318661083277	0.19049542087505125	0.0
mão	41	137	0	178	-0.010607650630752523	0.002553721582061663	0.0026084804173568668	44.103755323267514	3.114229051093593e-11	0.17574068595938114	0.19695678300577044	0.0
corpo	0	4	0	4	-1.0	0.0	7.616001218560195e-05	0.0	0.0	0.0	0.45875940746973076	0.0
braço	18	64	1	83	-0.04163519857590208	0.0011211460604173154	0.0012185601949696312	15.655942057732684	7.597349807013713e-05	0.11548331964672505	0.19880188303280463	-2.6742573695706113
perna	0	11	0	11	-1.0	0.0	0.00020944003351040536	0.0	0.0	0.0	0.45875940746973076	0.0
boca	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
nariz	6	4	0	10	0.6614172813210104	0.0003737153534724385	7.616001218560195e-05	5.952380952380953	0.014697421770023516	1.1331265457811677	-0.45753132440442446	0.0
olho	30	41	0	71	0.41066348536294395	0.0018685767673621925	0.00078064012490242	35.54226190476191	2.4957652032721144e-09	0.7824696741679982	-0.090348402867277	0.0
joelho	5	13	0	18	0.11433845370448957	0.0003114294612270321	0.00024752003960320634	3.7161290322580642	0.053889167882958895	0.36301832408509405	0.13333700703510276	0.0
osso	1	6	0	7	-0.2943144486768648	6.228589224540641e-05	0.00011424001827840292	0.0	1.0	-0.3019579795081551	0.3046087276424724	0.0
cabelo	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
cotovelo	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
língua	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
peito	6	6	0	12	0.5317603826411572	0.0003737153534724385	0.00011424001827840292	5.555555555555555	0.01842212545409897	0.950804988987213	-0.2343877730902147	0.0
dedo	1	10	0	11	-0.5070094006223278	6.228589224540641e-05	0.00019040003046400487	0.0	1.0	-0.7539431032512123	0.36344922766540594	0.0
unha	0	3	0	3	-1.0	0.0	5.712000913920146e-05	0.0	0.0	0.0	0.4587594074697306	0.0
cabeça	0	2	0	2	-1.0	0.0	3.8080006092800975e-05	0.0	0.0	0.0	0.45875940746973076	0.0
face	4	0	0	4	1.0	0.00024914356898162566	0.0	4.5	0.033894853524689295	1.6439521695471584	0.0	0.0
