title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words
História Vulgar	Artur Azevedo	1904.0	Male	1900	7466	98.0	1304.0
História comum	Machado de Assis	1884.0	Male	1800	17895	88.0	1332.0
História da Conjuração Mineira	Joaquim Norberto de Souza e Silva	1844.0	Male	1800	2092	3983.0	125336.0
História da Literatura Brasileira	José Veríssimo Dias de Matos	1888.0	Male	1800	2127	4288.0	147014.0
História da Literatura Brasileira: Fatores da Literatura Brasileira	Sílvio Romero	1888.0	Male	1800	2128	3830.0	115257.0
História da Província de Santa Cruz	Pero de Magalhães Gândavo	1576.0	Male	1500	17411	558.0	25065.0
História da Província de Santa Cruz, A que Vulgarmente Chamamos Brasil	Pero de Magalhães Gândavo	1576.0	Male	1500	2001	558.0	25071.0
História da literatura portuguesa (recapitulação): Idade média	Teófilo Braga	1906.0	Male	1900	43350	4429.0	147466.0
História da literatura portuguesa: teatro clássico no século XVI e XVII	Teófilo Braga	1906.0	Male	1900	43434	3608.0	100994.0
História de Quinze Dias	Machado de Assis	1884.0	Male	1800	16941	945.0	19114.0
História de um Dominó	Artur Azevedo	1904.0	Male	1900	7463	27.0	623.0
História de um Soneto	Artur Azevedo	1904.0	Male	1900	7464	69.0	1819.0
História de um crime	Antônio Frederico de Castro Alves	1871.0	Male	1800	86632	16.0	270.0
História de uma lágrima	Machado de Assis	1865.0	Male	1800	17414	212.0	3263.0
História do Futuro, Vol. I	Pe. Antônio Vieira	1718.0	Male	1700	17328	1545.0	70983.0
História do Futuro, Vol. II	Pe. Antônio Vieira	1718.0	Male	1700	17329	1296.0	60537.0
História do compadre rico e do compadre pobre	Adolfo Coelho	1875.0	Male	1800	81609	24.0	474.0
Histórias da Meia-Noite	Machado de Assis	1873.0	Male	1800	1893	2776.0	47282.0
Histórias e Sonhos	Afonso Henriques de Lima Barreto	1919.0	Male	1900	16818	3225.0	71336.0
Histórias e Tradições da Província de Minas Gerais	Bernardo Guimarães	1872.0	Male	1800	2142	2350.0	52913.0
Histórias sem Data	Machado de Assis	1884.0	Male	1800	1902	3179.0	60300.0
Hoje Avental, amanhã Luva	Machado de Assis	1884.0	Male	1800	17415	607.0	5157.0
Hoje sou um; e amanhã outro	Qorpo Santo	1866.0	Male	1800	7628	218.0	4459.0
Horas tristes	Casimiro de Abreu	1855.0	Male	1800	86439	21.0	519.0
Hospital das letras	Francisco Manoel de Melo	1661.0	Male	1600	38019	2679.0	44924.0
Há metafísica bastante em não pensar em nada	Alberto Caeiro da Silva	1914.0	Male	1900	84426	33.0	664.0
Há poetas que são artistas	Alberto Caeiro da Silva	1914.0	Male	1900	82168	16.0	472.0
Hóspede	Pardal Mallet	1875.0	Male	1800	7626	1115.0	28663.0
Iaiá Garcia	Machado de Assis	1878.0	Male	1800	1971	3859.0	67252.0
Identidade	Machado de Assis	1884.0	Male	1800	17878	247.0	4294.0
Identidades, poderes e saberes em um programa popular da televisão brasileira: uma abordagem discursiva	Carlos Renato Lopes	2017.0	Male	2000	86544	2122.0	61977.0
Idéias do Canário	Machado de Assis	1884.0	Male	1800	16944	96.0	2031.0
Ilha. Retratos encontrados num álbum esquecido...	Salomão Rovedo	2007.0	Male	2000	70020	1341.0	27507.0
Iluminuras	Arthur Rimbaud	1874.0	Male	1800	2271	506.0	8579.0
Ilusão	Casimiro de Abreu	1855.0	Male	1800	86440	11.0	332.0
Immensis orbitus anguis	Antônio Frederico de Castro Alves	1871.0	Male	1800	86838	21.0	351.0
In Extremis	Artur Azevedo	1904.0	Male	1900	7467	70.0	1510.0
Infância	Casimiro de Abreu	1855.0	Male	1800	86441	13.0	177.0
Ingenuidade	Artur Azevedo	1904.0	Male	1900	7468	48.0	728.0
Ingleses na Costa	França Júnior	1879.0	Male	1800	16636	706.0	6610.0
Inocência	Visconde de Taunay	1875.0	Male	1800	17500	3676.0	60946.0
Inspirações da Tarde	Bernardo Guimarães	1872.0	Male	1800	17320	129.0	4089.0
Inspirações do claustro	Luís José Junqueira Freire	1820.0	Male	1800	43440	2389.0	40212.0
Inéditos e esparsos	Júlio Dinis	1875.0	Male	1800	28811	7168.0	151385.0
Iracema	José de Alencar	1865.0	Male	1800	2029	1908.0	34105.0
Jesus! Maria!	Auta de Sousa	1918.0	Female	1900	81777	17.0	141.0
Jesuítas	Antônio Frederico de Castro Alves	1871.0	Male	1800	86839	27.0	330.0
Jogo do Bicho	Machado de Assis	1884.0	Male	1800	17942	218.0	3623.0
João Fernandes	Machado de Assis	1865.0	Male	1800	17425	112.0	1845.0
João Silva	Artur Azevedo	1904.0	Male	1900	7471	91.0	2102.0
Juca-Pirama	Antônio Gonçalves Dias	1851.0	Male	1800	16652	149.0	3148.0
Juramento	Casimiro de Abreu	1855.0	Male	1800	86442	14.0	313.0
Juriti	Casimiro de Abreu	1855.0	Male	1800	86443	10.0	228.0
Laranja-da-China	Antônio de Alcântara Machado	1926.0	Male	1900	7384	2295.0	18030.0
Lendas do Sul	João Simões Lopes Neto	1912.0	Male	1900	16665	419.0	15765.0
Lendas e Narrativas (Tomo I)	Alexandre Herculano	1851.0	Male	1800	3742	2505.0	64652.0
Leonce e Lena	George Büchner	1836.0	Male	1800	16643	971.0	11395.0
Leonor de Mendonça	Antônio Gonçalves Dias	1851.0	Male	1800	16653	1585.0	26660.0
Leram-me hoje S. Francisco de Assis	Alberto Caeiro da Silva	1914.0	Male	1900	84430	10.0	153.0
Letra vencida	Machado de Assis	1884.0	Male	1800	17898	258.0	4402.0
Letras livres: disseminando cultura!	Pedro Anízio Gomes	2017.0	Male	2000	53926	87.0	3429.0
Linha Reta e Linha Curva	Machado de Assis	1884.0	Male	1800	1884	1577.0	17833.0
Lira dos Vinte Anos	Manuel Antônio Álvares de Azevedo	1853.0	Male	1800	16539	2204.0	38198.0
Literatura para todos: conversa com educadores	Ligia Cademartori	2007.0	Female	2000	50065	589.0	12850.0
Livro das donas e donzelas	Júlia Lopes de Almeida	1899.0	Female	1800	7554	1257.0	35081.0
Livro de Mágoas	Florbela Espanca	1919.0	Female	1900	1802	254.0	3977.0
Livro de Sóror Saudade	Florbela Espanca	1919.0	Female	1900	7534	253.0	4261.0
Livro do Desassossego	Fernando Pessoa	1982.0	Male	1900	24204	5036.0	115928.0
Livros das Donas e Donzelas	Júlia Lopes de Almeida	1899.0	Female	1800	16682	1181.0	34921.0
Livrovivo 2000 - 2002	Ricardo de Lima Barreto	2007.0	Male	2000	19318	818.0	18348.0
Lição de Botânica	Machado de Assis	1884.0	Male	1800	2141	759.0	7149.0
Loli	Auta de Sousa	1895.0	Female	1800	81779	17.0	278.0
Longe dos Olhos	Machado de Assis	1876.0	Male	1800	17427	370.0	5650.0
Loucura divina	Antônio Frederico de Castro Alves	1870.0	Male	1800	86633	72.0	360.0
Lucrécias	Bruno Seabra	1871.0	Male	1800	2143	357.0	4717.0
Lucíola	José de Alencar	1862.0	Male	1800	2047	3234.0	52415.0
Luxo e Vaidade	Joaquim Manuel de Macedo	1860.0	Male	1800	16669	1444.0	26055.0
Luz e Sombra	Auta de Sousa	1875.0	Female	1800	81781	10.0	263.0
Luzia-Homem	Domingos Olímpio Braga Cavalcanti	1903.0	Male	1900	16618	3576.0	73383.0
Luís Soares	Machado de Assis	1878.0	Male	1800	1880	558.0	8442.0
Lágrimas de Xerxes	Machado de Assis	1869.0	Male	1800	1933	219.0	2735.0
Léo, o pardo. (Coleção literatura para todos; v. 6)	Rinaldo Santos Teixeira	1960.0	Male	1900	50043	1135.0	26858.0
Macbeth	William Shakespeare	1623.0	Male	1600	2341	1803.0	23910.0
Macário	Manuel Antônio Álvares de Azevedo	1855.0	Male	1800	2105	1633.0	18192.0
Madalena. (Coleção literatura para todos; v.1)	Cristiane Dantas	2010.0	Female	2000	50025	1495.0	21714.0
Madresilvas	Brasílio Machado	1878.0	Male	1800	43446	602.0	12478.0
Mal por Mal...	Artur Azevedo	1886.0	Male	1800	7472	37.0	609.0
Mana Maria	Antônio de Alcântara Machado	1926.0	Male	1900	7385	2045.0	21633.0
Manel Capineiro	Afonso Henriques de Lima Barreto	1915.0	Male	1900	16819	55.0	1296.0
Mano	Coelho Neto	1893.0	Male	1800	7528	1781.0	38141.0
Manuscrito de um Sacristão	Machado de Assis	1883.0	Male	1800	1917	178.0	3295.0
Marcha Fúnebre	Machado de Assis	1863.0	Male	1800	1955	170.0	3184.0
Marginalidade, violência e testemunho nos contos de Marcelino Freire	Flávia Heloísa Unbehaum Ferraz	2008.0	Female	2000	178571	618.0	13101.0
Marginália	Afonso Henriques de Lima Barreto	1913.0	Male	1900	16820	2831.0	77420.0
Maria	Antônio Frederico de Castro Alves	1871.0	Male	1800	86635	10.0	137.0
Maria Cora	Machado de Assis	1861.0	Male	1800	1954	420.0	7862.0
Maria Dusá	Lindolfo Rocha	1907.0	Male	1900	16838	5194.0	82807.0
Maria Madalena	Rilvan Batista de Santana	2015.0	Male	2000	121409	1451.0	31779.0
Maria Rosa Mística	Pe. Antônio Vieira	1686.0	Male	1600	17332	577.0	17187.0
Maria Rosa Mística Excelências, Poderes e Maravilha do seu Rosário	Pe. Antônio Vieira	1686.0	Male	1600	16401	56.0	1420.0
Mariana	Machado de Assis	1871.0	Male	1800	1978	202.0	3681.0
Marília de Dirceu	Tomáz Antônio Gonzaga	1792.0	Male	1700	2048	1827.0	35384.0
Mater	Auta de Sousa	1880.0	Female	1800	81859	15.0	245.0
Mateus e Mateusa	Qorpo Santo	1874.0	Male	1800	2007	335.0	4802.0
Mattos, Malta ou Matta?	Aluísio Azevedo	1885.0	Male	1800	1725	1574.0	22817.0
Maîtres de plaisir [construtores de imagens]	Jeferson Francisco Selbach	1997.0	Male	1900	26677	1024.0	26245.0
Meia hora de cinismo	França Júnior	1870.0	Male	1800	1809	571.0	7998.0
Mel	Salomão Rovedo	1935.0	Male	1900	70021	308.0	6132.0
