title	author	publication_year	author_gender	century	id	number_of_sentences	number_of_words	corpus
Ensaio Histórico sobre as Letras no Brasil	Francisco Adolfo de Varnhagen	1857.0	Male	1800.0	2083.0	345.0	11422.0	PPORTAL
Entre 1892 e 1894	Machado de Assis	1894.0	Male	1800.0	1937.0	34.0	1029.0	PPORTAL
Entre Marília e a pátria	Frei Caneca	1825.0	Male	1800.0	82028.0	10.0	218.0	PPORTAL
Entre Santos	Machado de Assis	1865.0	Male	1800.0	1966.0	166.0	3572.0	PPORTAL
Entre a Missa e o Almoço	Artur Azevedo	1904.0	Male	1900.0	16567.0	325.0	3626.0	PPORTAL
Entre a juntura dos ossos. (Coleção literatura para todos; v. 5)	Vera Lúcia de Oliveira	2007.0	Female	2000.0	50040.0	109.0	4404.0	PPORTAL
Entre duas datas	Machado de Assis	1884.0	Male	1800.0	17886.0	230.0	3853.0	PPORTAL
Entrei para o Clube Jácome	França Júnior	1879.0	Male	1800.0	1807.0	389.0	5387.0	PPORTAL
Epaminondas	Artur Azevedo	1904.0	Male	1900.0	7480.0	91.0	1465.0	PPORTAL
Epicédio	Cláudio Manuel da Costa (Glauceste Satúrnio)	1768.0	Male	1700.0	16551.0	148.0	2375.0	PPORTAL
Ernesto de Tal	Machado de Assis	1865.0	Male	1800.0	1896.0	529.0	8844.0	PPORTAL
Erótica	Rafael Rodrigues Gomes	2017.0	Male	2000.0	124736.0	54.0	1716.0	PPORTAL
Esaú e Jacó	Machado de Assis	1904.0	Male	1900.0	16937.0	4701.0	85072.0	PPORTAL
Esparsos e Inéditos	Emílio de Meneses	1900.0	Male	1900.0	17337.0	209.0	4130.0	PPORTAL
Espumas Flutuantes	Antônio Frederico de Castro Alves	1870.0	Male	1800.0	16590.0	1806.0	24143.0	PPORTAL
Este mundo da injustiça globalizada	José Saramago	2002.0	Male	2000.0	2913.0	58.0	2343.0	PPORTAL
Estórias de Jenni	François-Marie Arouet (Voltaire)	1759.0	Male	1700.0	2305.0	951.0	22638.0	PPORTAL
Eterno!	Machado de Assis	1884.0	Male	1800.0	1930.0	273.0	4445.0	PPORTAL
Eu	Augusto dos Anjos	1912.0	Male	1900.0	2066.0	963.0	18844.0	PPORTAL
Eu e Outras Poesias	Augusto dos Anjos	1912.0	Male	1900.0	1772.0	1957.0	39954.0	PPORTAL
Eu nasci além dos mares	Casimiro de Abreu	1855.0	Male	1800.0	84570.0	15.0	218.0	PPORTAL
Eu nunca guardei rebanhos	Alberto Caeiro da Silva	1914.0	Male	1900.0	82179.0	13.0	456.0	PPORTAL
Eu sou a vida; eu não sou a morte	Qorpo Santo	1866.0	Male	1800.0	7627.0	274.0	3410.0	PPORTAL
Eurico, o Presbítero	Alexandre Herculano	1844.0	Male	1800.0	16521.0	2544.0	67247.0	PPORTAL
Evolução	Machado de Assis	1884.0	Male	1800.0	1959.0	140.0	2506.0	PPORTAL
Ex Cathedra	Machado de Assis	1884.0	Male	1800.0	1918.0	163.0	3453.0	PPORTAL
Fabulario	Coelho Neto	1900.0	Male	1900.0	43347.0	1959.0	38064.0	PPORTAL
