word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
aparencia	16859	27181	310	44350	0.10853284670392245	0.09851517258708241	0.07922457212143823	20066.562579648315	0.0	0.32402356076882916	0.1060994927962023	-3.21398417563404
social	61864	188627	623	251114	-0.2066197234603245	0.3615008385388971	0.5497918901273142	68894.3087507413	0.0	-0.10971696129122771	0.30955850253840905	-4.249804264858906
carater	8279	23517	80	31876	-0.1724802815240341	0.04837814305999497	0.06854509630182344	9300.858929827598	0.0	-0.056879556688079355	0.2915641900861402	-4.238270505219264
emo	3149	6603	33	9785	-0.022436993869834693	0.01840110792316997	0.019245791167280698	3666.6792807101306	0.0	0.15748597196160163	0.2023674921113419	-3.9427868037392027
carater_social	792	4698	19	5509	-0.4947923868087822	0.004628033494808071	0.013693279858228793	799.0333246511747	8.754551545779005e-176	-0.6483253749675372	0.4364477694930888	-3.9203879036817826
outro	21237	27905	101	49243	0.20816106157372577	0.1240979132944937	0.08133481788928788	26834.853046371187	0.0	0.45022934861422	0.027732660450648622	-4.440090473053079
aparencia_carater	582	1934	11	2527	-0.24741634122440942	0.003400903401487749	0.005637037727929861	626.3699346944443	3.078441251834928e-138	-0.17706602896600274	0.32825157037199254	-3.68758131996533
carater_emo	427	1256	5	1688	-0.18935958430530891	0.0024951645230846544	0.0036608683486452453	473.35279067380213	5.972861014785168e-105	-0.0832640312365244	0.30008167361918864	-4.072550248097309
emo_social	48	181	4	233	-0.30576706521213326	0.0002804868784732164	0.0005275614419624119	41.71525622631085	1.0558189521959384e-10	-0.28858581196705596	0.3431525794470724	-2.315432577821316
aparencia_emo	128	243	1	372	0.02725647200142943	0.0007479650092619104	0.0007082730961152823	149.7061233209865	2.009993192749394e-34	0.2243880403372242	0.16986159081434904	-4.169582339648652
aparencia_carater_social	76	192	0	268	-0.11508997513059159	0.0004441042242492593	0.0005596231870540503	86.24141876430205	1.592569637332295e-20	0.030997990466228025	0.26220239326387207	0.0
aparencia_social	167	48	0	215	0.7492202715238032	0.0009758605980213988	0.00013990579676351257	269.78165342319164	1.2661845419040694e-60	1.038607414979846	-0.9037430154728245	0.0
caracter_emo_social	0	5	0	5	-1.0	0.0	1.4573520496199226e-05	0.0	0.0	0.0	0.5956940017469472	0.0
