word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
simples	26	59	0	85	-0.0618625413228584	0.00015193039250632555	0.00017196754185515087	28.37873931623932	9.975483691927754e-08	0.10669691222191914	0.23058018916235012	0.0
cheio	92	163	0	255	0.06171945386600981	0.0005375998504069981	0.0004750967681760948	109.8218743499064	1.0720383216387864e-25	0.2717766625813676	0.1481806573952835	0.0
doce	45	64	0	109	0.17000180059037545	0.0002629564485686404	0.00018654106235135008	54.21297366730893	1.7989517016644975e-13	0.40656623823192967	0.06322920287747535	0.0
tolo	4	22	0	26	-0.46572338343941505	2.33739065394347e-05	6.412349018327659e-05	2.4375	0.11846489387154585	-0.5805505462108379	0.42863991708378096	0.0
gentil	41	15	0	56	0.6913513410498152	0.00023958254202920568	4.372056148859768e-05	61.55960151150807	4.2954191697565094e-15	0.9794720066599121	-0.721607487885992	0.0
aliado	0	1	0	1	-1.0	0.0	2.914704099239845e-06	0.0	0.0	0.0	0.5956940017469472	0.0
natural	103	181	2	286	0.06579958386600478	0.0006018780933904436	0.0005275614419624119	118.37651164740845	1.4341021013711135e-27	0.2699888081005366	0.1381992221929202	-3.213533115635413
inteligente	16	32	0	48	0.00120522360837529	9.34956261577388e-05	9.327053117567504e-05	16.875	3.992397476901336e-05	0.1926393420226439	0.19022889363878281	0.0
bom	502	955	7	1464	0.0262171948786517	0.002933425270699055	0.0027835424147740523	586.0706021096731	1.7931348407007817e-129	0.2209240558612259	0.1684776477064206	-3.59370603084145
mesmo	133	189	2	324	0.17040123764622778	0.0007771823924362038	0.0005508790747563308	160.16854619878586	1.039496760079417e-36	0.4008572431201779	0.05669750101425986	-3.3382848206078903
distinto	3	4	0	7	0.20115673583897192	1.7530429904576026e-05	1.165881639695938e-05	1.696969696969697	0.19268475194899556	0.44395377030355	0.03607821381152452	0.0
delicioso	16	14	0	30	0.39232454755351825	9.34956261577388e-05	4.0805857389357835e-05	19.17613636363636	1.1919419594418901e-05	0.6626429712683795	-0.1664460502999496	0.0
odioso	2	6	0	8	-0.1988427063764404	1.168695326971735e-05	1.748822459543907e-05	0.5714285714285714	0.4496917979688908	-0.09504273042913702	0.30801192929516635	0.0
culto	1	4	0	5	-0.33226159289692997	5.843476634858675e-06	1.165881639695938e-05	0.0	1.0	-0.3181862817433468	0.37255045043273727	0.0
forte	62	122	1	185	0.009335213437484016	0.00036229555136123786	0.0003555939001072611	69.65525418609087	7.063034262303993e-17	0.1980301906575203	0.17935922140187885	-3.471044310453831
rapaz	23	72	0	95	-0.21919196756693002	0.00013439996260174953	0.00020985869514526884	23.94168185368394	9.929839570515606e-07	-0.12713104498063757	0.3184832291624618	0.0
bravo	0	8	0	8	-1.0	0.0	2.331763279391876e-05	0.0	0.0	0.0	0.5956940017469472	0.0
mediano	0	1	0	1	-1.0	0.0	2.914704099239845e-06	0.0	0.0	0.0	0.5956940017469472	0.0
feliz	150	205	0	355	0.189281120683325	0.0008765214952288013	0.0005975143403441683	187.65130952380952	1.0351798752315492e-42	0.4297691353115935	0.04658619140993957	0.0
pontual	0	14	0	14	-1.0	0.0	4.0805857389357835e-05	0.0	0.0	0.0	0.5956940017469472	0.0
absoluto	0	9	0	9	-1.0	0.0	2.6232336893158606e-05	0.0	0.0	0.0	0.5956940017469472	0.0
magistral	0	1	0	1	-1.0	0.0	2.914704099239845e-06	0.0	0.0	0.0	0.5956940017469472	0.0
possuidor	1	5	0	6	-0.4275870641163285	5.843476634858675e-06	1.4573520496199226e-05	0.0	1.0	-0.5005078385373014	0.41337244495299263	0.0
duvidoso	0	13	0	13	-1.0	0.0	3.7891153290117985e-05	0.0	0.0	0.0	0.5956940017469472	0.0
dividido	0	1	0	1	-1.0	0.0	2.914704099239845e-06	0.0	0.0	0.0	0.5956940017469472	0.0
certo	179	427	0	606	-0.08670205050590925	0.001045982317639703	0.001244578650375414	207.67741621463762	4.411648316283695e-47	0.07175745046219417	0.24559802890625726	0.0
coberto	4	8	0	12	0.00120522360837529	2.33739065394347e-05	2.331763279391876e-05	2.7	0.10034824646229054	0.1926393420226439	0.19022889363878281	0.0
velho	142	326	3	471	-0.067652849417976	0.0008297736821499319	0.0009501935363521896	157.32366290361847	4.3493637981599966e-36	0.09222059427559658	0.2277332890972371	-3.3069342907238144
