corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-por	POR0034_TomMel_Luiz	POR0034	Melo, Tomás de	O Conde de S. Luís	1836	1905	M	viaf:99963991	1874	1874	NA	1903	NA	NA	pt-pt	54874	NA	NA	medium	low	T2
ELTeC-por	POR0017_MJPCha_Meianoite	POR0017	Pinheiro Chagas, Manuel Joaquim	A Lenda da Meia-Noite	1842	1895	M	viaf:12303053	1874	1874	NA	1906	NA	NA	pt-pt	49152	NA	NA	short	low	T4
ELTeC-por	POR0009_EcaQue_Amaro	POR0009	Eça de Queirós, José Maria de	O Crime do Padre Amaro	1845	1900	M	viaf:88719234	1875	1875	2010	1889	NA	NA	pt-pt	142963	NA	NA	long	high	T2
ELTeC-por	POR0028_SMagLim_Viscondessa	POR0028	Lima, Sebastião de Magalhães	A senhora viscondessa	1850	1928	M	viaf:56893154	1875	1875	NA	NA	NA	NA	pt-pt	26539	NA	NA	short	low	T2
ELTeC-por	POR0059_AntFBar_Duelo	POR0059	Barata, António Francisco	Um duelo nas sombras	1836	1910	M	viaf:376726	1875	1875	NA	1903	NA	NA	pt-pt	50041	NA	NA	medium	low	T2
ELTeC-por	POR0046_FraGAmo_Selvagens	POR0046	Amorim, Francisco Gomes de	Os selvagens	1827	1891	M	viaf:13202408	1875	1875	NA	NA	NA	NA	pt-pt	54630	NA	NA	medium	unspecified	T2
ELTeC-por	POR0091_ArnGam_Dinheiro	POR0091	Gama, Arnaldo	El-rei dinheiro	1828	1869	M	viaf:34585149	1876	1876	NA	NA	NA	NA	pt-pt	88638	NA	NA	medium	unspecified	T2
ELTeC-por	POR0029_DiodMac_Cristao	POR0029	Macedo, Diogo de	O cristão novo	1844	1938	M	viaf:99906308	1876	1876	NA	NA	NA	NA	pt-pt	25948	NA	NA	short	low	T2
ELTeC-por	POR0044_MAVC_Alice	POR0044	Carvalho, Maria Amália Vaz de	Alice	1847	1921	F	viaf:43862761	1877	1877	NA	NA	NA	NA	pt-pt	14919	NA	NA	short	unspecified	T2
ELTeC-por	POR0092_UrbLou_Quintino	POR0092	Loureiro, Urbano	A infâmia de Frei Quintino	1845	1880	M	viaf:78355897	1878	1878	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	58655	NA	NA	medium	low	T2
ELTeC-por	POR0081_AMCunSa_Parte	POR0081	Sá, António Manuel da Cunha e	Da parte d'el-rei	1854	1909	M	viaf:14405749	1878	1878	NA	NA	NA	NA	pt-pt	62450	NA	NA	medium	low	T2
ELTeC-por	POR0079_JulLPin_Margarida	POR0079	Pinto, Júlio Lourenço	Margarida	1842	1907	M	viaf:302032361	1879	1879	NA	1880	Biblioteca Nacional de Portugal	NA	pt-pt	93632	NA	NA	medium	low	T2
ELTeC-por	POR0071_OliMas_Arrabido	POR0071	Oliveira Mascarenhas, Joaquim Augusto de	O frade arrábido	1847	1918	M	viaf:100130648	1881	1881	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	28354	NA	NA	short	low	T3
ELTeC-por	POR0036_JosAVie_Divorciada	POR0036	Vieira, José Augusto	A Divorciada	1856	1890	M	viaf:99891296	1881	1881	NA	1906	NA	NA	pt-pt	49574	NA	NA	short	low	T3
ELTeC-por	POR0060_FiaAlm_Ruiva	POR0060	Almeida, Fialho de	A ruiva	1857	1911	M	viaf:27059459	1881	1881	NA	NA	NA	NA	pt-pt	24804	NA	NA	short	unspecified	T3
ELTeC-por	POR0026_TeiQue_Salustio	POR0026	Teixeira de Queirós, Francisco	O Salústio Nogueira	1848	1919	M	viaf:51244569	1883	1883	NA	1909	NA	NA	pt-pt	110267	NA	NA	long	unspecified	T3
ELTeC-por	POR0043_LuiMag_Soares	POR0043	Magalhães, Luís de	O Brasileiro Soares	1859	1935	M	viaf:14814628	1886	1886	NA	1981	Biblioteca Nacional de Portugal	NA	pt-pt	40044	NA	NA	short	high	T3
ELTeC-por	POR0021_ConFic_Eleicao	POR0021	Ficalho, Francisco Manuel de Melo Breyner, Conde de	Uma Eleição Perdida	1837	1903	M	viaf:51706969	1888	1888	NA	NA	NA	NA	pt-pt	26525	NA	NA	short	high	T3
ELTeC-por	POR0005_EcaQue_Maias	POR0005	Eça de Queirós, José Maria de	Os Maias	1845	1900	M	viaf:88719234	1888	1888	NA	NA	NA	NA	pt-pt	217462	NA	NA	long	high	T3
ELTeC-por	POR0100_LucCor_Duquesa	POR0100	Cordeiro, Luciano	A senhora duquesa	1844	1900	M	viaf:4959274	1889	1889	NA	NA	NA	NA	pt-pt	134088	NA	NA	long	low	T3
ELTeC-por	POR0053_AbeBot_Lavos	POR0053	Botelho, Abel	O Barão de Lavos	1856	1917	M	viaf:37048086	1891	1891	NA	NA	NA	NA	pt-pt	105866	NA	NA	long	high	T3
ELTeC-por	POR0049_AntFBar_Cartuxo	POR0049	Barata, António Francisco	O último cartuxo da Scala Caeli de Évora	1836	1910	M	viaf:376726	1891	1891	NA	NA	NA	NA	pt-pt	72321	NA	NA	medium	low	T3
ELTeC-por	POR0022_AlbPim_Cintra	POR0022	Pimentel, Alberto	Noites de Cintra	1849	1925	M	viaf:64047987	1892	1892	NA	1908	NA	NA	pt-pt	32610	NA	NA	short	low	T3
ELTeC-por	POR0056_AliMod_Sandoval	POR0056	Moderno, Alice	O Dr. Luís Sandoval	1867	1946	F	viaf:8943849	1892	1892	NA	NA	NA	NA	pt-pt	20951	NA	NA	short	low	T3
ELTeC-por	POR0090_CanFig_Tres	POR0090	Figueiredo, Cândido de	Lisboa no Ano Três Mil	1846	1925	M	viaf:7482362	1892	1892	NA	NA	Projecto Adamastor	NA	pt-pt	15474	NA	NA	short	unspecified	T3
ELTeC-por	POR0076_FraFBen_Franceses	POR0076	Benevides, Francisco da Fonseca	No tempo dos francezes	1836	1911	M	viaf:99791256	1894	1894	NA	1908	NA	NA	pt-pt	57515	NA	NA	medium	high	T3
ELTeC-por	POR0058_AlbPim_Guerrilha	POR0058	Pimentel, Alberto	A guerrilha de Frei Simão	1849	1925	M	viaf:64047987	1895	1895	NA	NA	NA	NA	pt-pt	71342	NA	NA	medium	low	T3
ELTeC-por	POR0031_ZNGB_Covilha	POR0031	Brandão, Zeferino Norberto Gonçalves	Pero da Covilhã	1842	1910	M	viaf:99344619	1897	1897	NA	NA	NA	NA	pt-pt	52400	NA	NA	medium	low	T3
ELTeC-por	POR0068_ClaCam_Ele	POR0068	Campos, Claudia de	Ele	1859	1916	F	viaf:1160148390823010830009	1899	1899	NA	NA	Arquivo Municipal de Sines	NA	pt-pt	50822	NA	NA	medium	low	T3
ELTeC-por	POR0032_JayMLim_Transviado	POR0032	Lima, Jaime de Magalhães	Transviado	1859	1936	M	viaf:6967932	1899	1899	NA	NA	NA	NA	pt-pt	77983	NA	NA	medium	low	T3
ELTeC-por	POR0035_MauFig_Exilado	POR0035	Figueiredo, Maurícia C. de	O Exilado	1866	1923	F	viaf:99374069	1900	1900	NA	NA	NA	NA	pt-pt	42234	NA	NA	short	low	T4
ELTeC-por	POR0072_LobAvi_Caramurus	POR0072	Lobo de Ávila, Artur	Os Caramurús	1855	1945	M	NA	1900	1900	NA	NA	NA	NA	pt-pt	67701	NA	NA	medium	low	T3
ELTeC-por	POR0074_CarMDia_Ervas	POR0074	Dias, Carlos Malheiro	Filho das ervas	1875	1941	M	viaf:29528314	1900	1900	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	100553	NA	NA	long	unspecified	T4
ELTeC-por	POR0008_EcaQue_Ramires	POR0008	Eça de Queirós, José Maria de	A ilustre casa de Ramires	1845	1900	M	viaf:88719234	1900	1900	NA	NA	NA	NA	pt-pt	108451	NA	NA	long	high	T4
ELTeC-por	POR0098_AugLou_Bruxa	POR0098	NA	A bruxa	NA	NA	M	viaf:201044294	1901	1901	NA	NA	NA	NA	pt-pt	42477	NA	NA	short	low	T4
ELTeC-por	POR0054_AbeBot_Amanha	POR0054	Botelho, Abel	Amanhã	1856	1917	M	viaf:37048086	1901	1901	NA	NA	NA	NA	pt-pt	137746	NA	NA	long	high	T4
ELTeC-por	POR0080_JoaCam_CastelMelhor	POR0080	Câmara, João Maria Evangelista Gonçalves Zarco da	O Conde de Castel Melhor	1852	1908	M	viaf:12317246	1903	NA	NA	1903	NA	NA	pt-pt	196918	NA	NA	long	low	T4
ELTeC-por	POR0052_RauBra_Farsa	POR0052	Brandão, Raul	A Farsa	1867	1930	M	viaf:17219789	1903	1903	2017	NA	NA	NA	pt-pt	44142	NA	NA	short	high	T4
ELTeC-por	POR0099_AnaCO_Ambicoes	POR0099	Castro Osório, Ana de	Ambições	1872	1935	F	viaf:68982250	1903	1903	NA	NA	Biblioteca Nacional de Portugal	NA	pt-pt	77224	NA	NA	medium	low	T4
ELTeC-por	POR0042_TeoBra_Viriato	POR0042	Braga, Teófilo	Viriato	1843	1924	M	viaf:54161310	1904	1904	2008	NA	NA	NA	pt-pt	62803	NA	NA	medium	high	T4
ELTeC-por	POR0033_ACCSA_Anselmo	POR0033	Albergaria, António da Costa Couto Sá de	Os filhos do padre Anselmo	1850	1921	M	viaf:99372166	1904	1904	NA	NA	NA	NA	pt-pt	119384	NA	NA	long	low	T4
