word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
destrutivo	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
cheia	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
ereto	0	3	0	3	-1.0	0.0	1.359415994888596e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
precito	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
nato	1	2	0	3	0.1275358098113901	1.1712344811431248e-05	9.062773299257306e-06	0.0	1.0	0.3914742471698738	0.1350060264030547	0.0	19th
iluminado	2	2	0	4	0.4420756510914419	2.3424689622862496e-05	9.062773299257306e-06	0.6666666666666666	0.4142161782425251	0.7969393552780382	-0.1526760460487262	0.0	19th
nebuloso	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
inconveniente	3	1	0	4	0.7715368282472317	3.513703443429375e-05	4.531386649628653e-06	2.1333333333333333	0.1441270348160111	1.2024044633862023	-0.8458232266086715	0.0	19th
ativo	0	4	0	4	-1.0	0.0	1.8125546598514613e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
esbelto	0	3	0	3	-1.0	0.0	1.359415994888596e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
detestado	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
obscuro	1	3	0	4	-0.0743609263814875	1.1712344811431248e-05	1.359415994888596e-05	0.0	1.0	0.1037921747180928	0.2527890620594381	0.0	19th
deserto	6	8	0	14	0.3193891003010256	7.02740688685875e-05	3.6251093197029225e-05	5.303030303030304	0.0212883574107868	0.6427886754507797	-0.0191446534242035	0.0	19th
invejoso	3	1	0	4	0.7715368282472317	3.513703443429375e-05	4.531386649628653e-06	2.1333333333333333	0.1441270348160111	1.2024044633862023	-0.8458232266086715	0.0	19th
libidinoso	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
portador	1	16	0	17	-0.7218450392402646	1.1712344811431248e-05	7.250218639405845e-05	0.0	1.0	-1.3431268082182326	0.4798465126947842	0.0	19th
engenhoso	0	3	0	3	-1.0	0.0	1.359415994888596e-05	0.0	0.0	0.0	0.5404711345112191	0.0	19th
passo	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
meticuloso	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
armado	4	5	0	9	0.3480611347309778	4.684937924572499e-05	2.2656933248143266e-05	2.892857142857143	0.0889730117018132	0.6791563196216548	-0.0473155303908998	0.0	19th
audacioso	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
disforme	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
pressuroso	3	5	0	8	0.2159412424273313	3.513703443429375e-05	2.2656933248143266e-05	1.641025641025641	0.2001848041775755	0.5092572828262572	0.0704675052654833	0.0	19th
talentoso	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
