word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
outro	1852	3983	5	5840	0.2066906255439714	0.1153534724384926	0.0758363321338131	2185.738846859301	0.0	0.4954875089310103	0.0760639148291022	-5.318464925162186	17th
emo	206	818	3	1027	-0.0965945840059892	0.0128308938025537	0.0155747224919555	218.66811137143424	1.7656571883757758e-49	0.0374311284081813	0.2312245341439196	-4.091201683034462	17th
social	5359	27172	31	32562	-0.2156681334440584	0.3337900965431329	0.517354962776794	5750.859953287567	0.0	-0.1604164042494513	0.2778004744894632	-5.212330800580327	17th
aparencia	1833	3097	22	4952	0.3188409952542489	0.1141700404858299	0.0589668894347023	2192.9882768743187	0.0	0.6501146030224314	-0.0105982269214984	-3.6719211227801294	17th
carater	991	4047	8	5046	-0.11045935831224	0.0617253192151977	0.0770548923287827	1074.8018711109814	9.899467619313823e-236	0.0163155746761433	0.2381394231445933	-4.702326349295181	17th
aparencia_carater	64	372	1	437	-0.2797483212632277	0.003986297103706	0.0070828811332609	64.19726183640223	1.1256508520668636e-15	-0.2770979421887599	0.2977200666472871	-4.335349956869604	17th
emo_social	4	26	0	30	-0.3304245004892321	0.0002491435689816	0.0004950400792064	2.4107142857142856	0.1205073690866541	-0.3709508509951064	0.3156585638290572	0.0	17th
carater_social	51	478	0	529	-0.4825447767530153	0.0031765805045157	0.0091011214561794	51.50222949159804	7.151583806869153e-13	-0.6952106295868151	0.3573817081028873	0.0	17th
carater_emo	52	227	0	279	-0.1432643665036121	0.0032388663967611	0.0043220806915329	55.15954697476436	1.1113256747561859e-13	-0.0360158936927799	0.2524976431297676	0.0	17th
aparencia_carater_social	1	45	0	46	-0.8644612359289597	6.228589224540641e-05	0.000856800137088	0.0	1.0	-2.1846892269419365	0.4367805007509556	0.0	17th
aparencia_emo	24	45	0	69	0.2713235994934893	0.0014948614138897	0.000856800137088	26.68201754385965	2.398432877102412e-07	0.5878994952978447	0.0313153926427911	0.0	17th
aparencia_social	6	13	0	19	0.2031360660963918	0.0003737153534724	0.0002475200396032	4.947916666666667	0.0261221285241381	0.4912726596087728	0.079269785764827	0.0	17th
aparencia	16859	27181	310	44350	0.1085328467039224	0.0985151725870824	0.0792245721214382	20066.562579648315	0.0	0.3240235607688291	0.1060994927962023	-3.21398417563404	18th
social	61864	188627	623	251114	-0.2066197234603245	0.3615008385388971	0.5497918901273142	68894.3087507413	0.0	-0.1097169612912277	0.309558502538409	-4.249804264858906	18th
carater	8279	23517	80	31876	-0.1724802815240341	0.0483781430599949	0.0685450963018234	9300.858929827598	0.0	-0.0568795566880793	0.2915641900861402	-4.238270505219264	18th
emo	3149	6603	33	9785	-0.0224369938698346	0.0184011079231699	0.0192457911672806	3666.6792807101306	0.0	0.1574859719616016	0.2023674921113419	-3.942786803739202	18th
carater_social	792	4698	19	5509	-0.4947923868087822	0.004628033494808	0.0136932798582287	799.0333246511747	8.754551545779005e-176	-0.6483253749675372	0.4364477694930888	-3.920387903681783	18th
outro	21237	27905	101	49243	0.2081610615737257	0.1240979132944937	0.0813348178892878	26834.853046371187	0.0	0.45022934861422	0.0277326604506486	-4.440090473053079	18th
aparencia_carater	582	1934	11	2527	-0.2474163412244094	0.0034009034014877	0.0056370377279298	626.3699346944443	3.078441251834928e-138	-0.1770660289660027	0.3282515703719925	-3.68758131996533	18th
carater_emo	427	1256	5	1688	-0.1893595843053089	0.0024951645230846	0.0036608683486452	473.3527906738021	5.972861014785168e-105	-0.0832640312365244	0.3000816736191886	-4.072550248097309	18th
emo_social	48	181	4	233	-0.3057670652121332	0.0002804868784732	0.0005275614419624	41.71525622631085	1.0558189521959384e-10	-0.2885858119670559	0.3431525794470724	-2.315432577821316	18th
aparencia_emo	128	243	1	372	0.0272564720014294	0.0007479650092619	0.0007082730961152	149.7061233209865	2.009993192749394e-34	0.2243880403372242	0.169861590814349	-4.169582339648652	18th
aparencia_carater_social	76	192	0	268	-0.1150899751305915	0.0004441042242492	0.000559623187054	86.24141876430205	1.592569637332295e-20	0.030997990466228	0.262202393263872	0.0	18th
aparencia_social	167	48	0	215	0.7492202715238032	0.0009758605980213	0.0001399057967635	269.78165342319164	1.2661845419040694e-60	1.038607414979846	-0.9037430154728244	0.0	18th
