gender	0	century
female	16055	17th
unknown	14518	17th
male	52521	17th
female	171131	18th
unknown	108242	18th
male	343088	18th
male	220683	19th
unknown	72809	19th
female	85380	19th
male	104220	20th
unknown	33052	20th
female	44277	20th
