word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
nascer	62	139	0	201	0.07101816872735779	0.0007261653783087374	0.0006298627442983827	70.96024667931688	3.644957275044525e-17	0.31391601282399917	0.1716401595828349	0.0
conviver	3	10	0	13	-0.12649742817391443	3.513703443429375e-05	4.531386649628653e-05	1.5072463768115942	0.2195597461121137	0.02374946704455643	0.2781068700437279	0.0
ter	1838	3926	18	5782	0.09504837464404882	0.021527289763410635	0.017790223986442092	2137.0987607916272	0.0	0.3440149161773245	0.153342586771334	-4.1227743214474835
aparecer	195	599	3	797	-0.08610953737002827	0.0022839072382290935	0.002714300603127563	212.02803745438194	4.95924308610398e-48	0.08223141561151517	0.2548780538364533	-3.9328835468894625
fazer	976	2438	8	3422	0.017070680380993963	0.011431248535956898	0.011047520651794656	1115.1581227063798	1.676384696810471e-244	0.23556866779893704	0.2014239901002971	-4.4091800695396595
experimentar	9	26	0	35	-0.05557096994384488	0.00010541110330288123	0.00011781605289034497	8.160291438979963	0.004281749023990474	0.13196305168478903	0.24321961104328735	0.0
retorcer	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0
rosnar	7	85	0	92	-0.6489964134617711	8.198641368001875e-05	0.0003851678652184355	5.346246973365618	0.02076692475422741	-1.0857918921557435	0.4613338139524952	0.0
correr	155	416	2	573	-0.018820148515692834	0.0018154134457718436	0.0018850568462455196	171.75403993330795	3.062512663939624e-39	0.18262593604249056	0.2202706780577427	-4.008379692922151
vir	470	1187	11	1668	0.01158133287806764	0.005504802061372687	0.005378755953109211	516.6777040745707	2.23540272868723e-114	0.22343864762339566	0.20027494620219513	-3.3721264668876785
pousar	30	64	0	94	0.09567134278486791	0.00035137034434293746	0.0002900087455762338	33.356118143459916	7.673603065677933e-09	0.3479891352301348	0.15605943560088717	0.0
dedicar	13	27	0	40	0.10893000748530339	0.00015226048254860623	0.00012234743953997362	13.22617680826636	0.0002760663402538645	0.3661564391855837	0.1474285464016118	0.0
haver	432	1120	1	1553	-0.001521486185091456	0.005059732958538299	0.005075153047584091	496.8378852097439	4.63433019501167e-110	0.21056830093340675	0.21361127565167223	-5.698584979916044
abandonar	53	130	1	184	0.026180448252313908	0.0006207542750058561	0.0005890802644517249	57.10334362764142	4.135020600936294e-14	0.24544269178111958	0.19306982735781578	-3.5655769143763423
saber	639	1287	8	1934	0.12408256409312733	0.007484188334504567	0.005831894618072076	742.954211239856	1.3659012932863268e-163	0.3826453142022786	0.13319466609410607	-3.8385452911007603
utilizar	0	5	0	5	-1.0	0.0	2.2656933248143266e-05	0.0	0.0	0.0	0.5404711345112191	0.0
faltar	47	104	0	151	0.0775301466821937	0.0005504802061372687	0.0004712642115613799	53.319315811430954	2.835051328506242e-13	0.3229543007331176	0.16758219683766734	0.0
dar	648	1948	5	2601	-0.07538291451781129	0.007589599437807449	0.008827141193476615	724.6187419975361	1.3253403654130698e-159	0.1003259667416064	0.25137835326504787	-4.604854509781908
considerar	44	191	0	235	-0.2535791112734626	0.0005153431717029749	0.0008654948500790727	46.36310285958173	9.824829321833237e-12	-0.18530934438791435	0.33315904841369004	0.0
percorrer	7	48	0	55	-0.4524985818766225	8.198641368001875e-05	0.00021750655918217535	5.492371705963939	0.019099616650522417	-0.5713365003391742	0.40433896018663906	0.0
comer	25	70	0	95	-0.039980685028939804	0.0002928086202857812	0.0003171970654740057	26.53090909090909	2.5935505664186333e-07	0.15508546910564333	0.2350894849600371	0.0
viver	189	326	2	517	0.19951991694573515	0.002213633169360506	0.001477232047778941	223.9420177702504	1.2490011748030188e-50	0.48379067638919654	0.07932564136949762	-3.9055368507158406
acrescentar	54	187	1	242	-0.14522061552902135	0.0006324666198172874	0.0008473693034805581	55.95353012337798	7.420437546699073e-14	-0.009867143754428714	0.2826420252091193	-3.839578882924043
preparar	54	68	0	122	0.344813962550448	0.0006324666198172874	0.00030813429217474837	66.80272904483431	3.0008240732885943e-16	0.6750495376690011	-0.04404220504593075	0.0
pretender	21	77	0	98	-0.17307393258553275	0.0002459592410400562	0.0003489167720214063	21.333333333333332	3.8596164369284525e-06	-0.05035850510916553	0.29930907769433096	0.0
dizer	2044	5329	20	7393	-0.004319737953944722	0.023940032794565472	0.024147759455871092	2317.2593440778583	0.0	0.20446160160447832	0.21310113125090124	-4.263197768770466
contar	162	606	2	770	-0.18275762677377538	0.0018973998594518622	0.0027460203096749637	173.4520858876117	1.3038861809467117e-39	-0.06870764377736209	0.30096060573280403	-4.3038844910551415
jantar	33	110	0	143	-0.12649742817391435	0.0003865073787772312	0.0004984525314591518	35.07773386034256	3.1680261627078185e-09	0.023749467044556213	0.2781068700437281	0.0
poder	513	1114	12	1639	0.08686990048117377	0.006008432888264231	0.0050479647276863195	575.7826382337713	3.1006195260392728e-127	0.32852080226492336	0.15434197625461862	-3.2675760857231864
achar	223	579	5	807	-0.0022576485573167376	0.0026118528929491686	0.00262367287013499	243.65630798744542	6.273237561570657e-55	0.2039346390281533	0.20844994381426546	-3.4345269126032054
conhecer	246	669	1	916	-0.025413088510461073	0.002881236823612087	0.003031497668601569	279.215028254045	1.113412066065507e-62	0.17540170709621575	0.22623882996531716	-5.170657521441487
sonhar	42	72	0	114	0.2024725406242301	0.0004919184820801124	0.000326259838773263	49.06144393241168	2.480686977608903e-12	0.4915577057268563	0.0809388051327788	0.0
chamar	435	1189	5	1629	-0.027945953684025037	0.005094869992972593	0.005387818726408468	486.638174129524	7.679133561858516e-108	0.16971095832462224	0.22561742259995576	-4.1369248529353015
manter	20	35	1	56	0.19256521245724106	0.00023424689622862497	0.00015859853273700284	19.794773647405226	8.62181040595185e-06	0.4604671186568251	0.07046750526548358	-2.375992847502506
tomar	173	591	0	764	-0.1385574715528338	0.002026235652377606	0.002678049509930534	192.83899067892412	7.632454602260886e-44	0.004810341169241893	0.2837193627507967	0.0
ir	411	954	3	1368	0.053720704739829164	0.0048137737174982435	0.004322942863745734	473.5652720543641	5.369645544536338e-105	0.2875746521517223	0.18002970777700966	-4.473133966281743
