word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
textual	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0
numeroso	4	15	0	19	-0.18395216489355803	4.684937924572499e-05	6.79707997444298e-05	2.514705882352941	0.11278867504722762	-0.06805808220856645	0.3040823564469886	0.0
divertido	9	28	0	37	-0.09241779414899558	0.00010541110330288123	0.00012687882618960227	8.095726495726495	0.004436974995180734	0.07639320052997821	0.2617577320421986	0.0
oficial	2	27	0	29	-0.6786122318801321	2.3424689622862496e-05	0.00012234743953997362	0.5178571428571428	0.47175719794733373	-1.1840621135885454	0.46901217052907423	0.0
vasta	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0
piedoso	4	5	0	9	0.3480611347309778	4.684937924572499e-05	2.2656933248143266e-05	2.892857142857143	0.08897301170181328	0.6791563196216548	-0.047315530390899814	0.0
famoso	7	33	0	40	-0.29176188547335236	8.198641368001875e-05	0.00014953575943774556	5.63600782778865	0.017595227352014794	-0.25288276922063957	0.3480992418637629	0.0
capaz	83	226	1	310	-0.026033611264362183	0.0009721246193487936	0.0010240933828160755	90.95424963874872	1.4703271234225139e-21	0.17235484615538937	0.22443383630431293	-4.087213454246549
alto	41	126	0	167	-0.08633177324131425	0.0004802061372686812	0.0005709547178532103	44.485141097144755	2.5629503495796362e-11	0.08566479012553616	0.258759229045942	0.0
curioso	20	74	0	94	-0.1774598435674231	0.00023424689622862497	0.0003353226120725203	20.198809523809526	6.97963582980491e-06	-0.05747597287802953	0.3012414454453849	0.0
insurrecto	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0
evidente	10	51	0	61	-0.3273100540906327	0.00011712344811431249	0.0002311007191310613	8.823214285714286	0.002974223013593538	-0.3182022353412822	0.3614229030622337	0.0
falido	0	4	0	4	-1.0	0.0	1.8125546598514613e-05	0.0	0.0	0.0	0.5404711345112191	0.0
forte	31	99	0	130	-0.10536607890534413	0.0003630826891543687	0.0004486072783132366	32.96238906888294	9.39590786934583e-09	0.056539289867547325	0.2680565341902266	0.0
expulso	1	23	0	24	-0.7979484742652865	1.1712344811431248e-05	0.00010422189294145902	0.0	1.0	-1.6879672945099622	0.49791152009242307	0.0
rico	40	95	0	135	0.04228375491928997	0.00046849379245724994	0.00043048173171472204	44.63804347826087	2.3704073149392494e-11	0.2736912115134901	0.18907324767333047	0.0
devoto	0	3	0	3	-1.0	0.0	1.359415994888596e-05	0.0	0.0	0.0	0.5404711345112191	0.0
raro	37	69	0	106	0.16177942275920784	0.0004333567580229562	0.00031266567882437703	42.432741312741314	7.315509764544476e-11	0.43756535437014077	0.11113854499641132	0.0
claro	42	121	0	163	-0.05419959707476651	0.0004919184820801124	0.000548297784605067	45.942823608316566	1.2175512526173136e-11	0.13400595331458945	0.2425114793011977	0.0
caro	5	98	0	103	-0.7669823259320501	5.856172405715624e-05	0.00044407589166360796	3.279601990049751	0.07014593805566499	-1.5352045399575522	0.49070962495215525	0.0
mau	44	95	0	139	0.08972214590841258	0.0005153431717029749	0.00043048173171472204	49.92443667443667	1.5978225843129479e-12	0.3398022366255529	0.15987409298106828	0.0
pobre	94	179	0	273	0.15158487656916764	0.0011009604122745374	0.0008111182102835289	111.14559405008474	5.498087248247247e-26	0.42390952292302747	0.11838514516701441	0.0
mesmo	43	131	0	174	-0.082006325871019	0.0005036308268915437	0.0005936116511013536	46.80686237133054	7.833861379632639e-12	0.09223135231701686	0.25661315849784155	0.0
providencial	1	5	0	6	-0.3184410338134263	1.1712344811431248e-05	2.2656933248143266e-05	0.0	1.0	-0.3016729333900715	0.35814957771726447	0.0
grande	120	284	2	406	0.044037951597756614	0.0014054813773717498	0.0012869138084945374	133.40729151287104	7.364248967293135e-31	0.2712251190182967	0.18309221307069268	-3.663847135809144
presente	25	75	0	100	-0.07436092638148747	0.0002928086202857812	0.00033985399872214897	26.331428571428567	2.8757079242667986e-07	0.10379217471809282	0.2527890620594381	0.0
certo	113	294	0	407	-0.003288261798086292	0.0013234949636917312	0.001332227674990824	128.90328607678032	7.120475026531405e-30	0.20866116910772903	0.21523771640730588	0.0
