word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
mão	177	459	2	638	-0.0016425366028258524	0.002073085031623331	0.002079906472179552	198.01147803126105	5.6726043463513e-45	0.20789798506702278	0.21118306122697422	-4.115832259552201
dente	14	37	0	51	-0.011122132207709122	0.0001639728273600375	0.00016766130603626016	13.991883116883116	0.00018360152747031944	0.19731823272891613	0.2195634144311176	0.0
olho	251	384	1	636	0.25636415962724574	0.0029397985476692433	0.0017400524734574028	307.7990168506617	6.587179278114796e-69	0.5603409116296453	0.03591512375882358	-4.805839720107479
pé	127	177	0	304	0.29936903267648685	0.0014874677910517685	0.0008020554369842716	158.01411102198506	3.0729650194398486e-36	0.6172459208903529	-0.0004068343211734459	0.0
joelho	42	62	0	104	0.2729747869937096	0.0004919184820801124	0.0002809459722769765	50.15031554790591	1.4240822955584247e-12	0.5833652549799792	0.02321462041493806	0.0
braço	135	219	0	354	0.22878712653065017	0.0015811665495432186	0.000992373676268675	164.3442311421369	1.2722220615450027e-37	0.5260644011426384	0.06024595119394548	0.0
ombro	23	74	0	97	-0.10904244745115971	0.00026938393066291874	0.0003353226120725203	23.873887617594715	1.0285754590939845e-06	0.05086977326375033	0.26982524921200596	0.0
face	23	29	0	52	0.34425083315357324	0.00026938393066291874	0.00013141021283923093	27.018786902844877	2.0148760102274772e-07	0.6743370331857057	-0.04347675408373433	0.0
cabelo	33	40	0	73	0.3615099414932445	0.0003865073787772312	0.00018125546598514613	40.0922499329579	2.422481683897792e-10	0.6961346561560725	-0.06110885252323578	0.0
corpo	18	26	0	44	0.2830046442493379	0.00021082220660576247	0.00011781605289034497	20.184126984126987	7.033414090955728e-06	0.596268659815887	0.014378038614439962	0.0
perna	4	29	0	33	-0.4743690513619344	4.684937924572499e-05	0.00013141021283923093	2.3951612903225805	0.12171119616643554	-0.6201266645086061	0.4112594030312127	0.0
sorriso	2	7	0	9	-0.15042356976630036	2.3424689622862496e-05	3.171970654740057e-05	0.5625	0.4532547047537363	-0.013990860938290507	0.28915670623031314	0.0
dedo	13	24	0	37	0.16668547512921408	0.00015226048254860623	0.00010875327959108768	13.437578814627994	0.0002466337204676814	0.44411798065529556	0.10760705221494017	0.0
peito	5	7	0	12	0.2973149332040034	5.856172405715624e-05	3.171970654740057e-05	4.042105263157895	0.04437842734548694	0.6146177984840835	0.0014746337785321848	0.0
cabeça	7	22	0	29	-0.0974482208007207	8.198641368001875e-05	9.969050629183036e-05	5.848739495798319	0.01558821278482309	0.0687008549068228	0.2642177578830611	0.0
osso	5	15	0	20	-0.07436092638148747	5.856172405715624e-05	6.79707997444298e-05	3.6571428571428575	0.055829294639240225	0.10379217471809282	0.2527890620594381	0.0
cérebro	1	11	0	12	-0.6194671267210006	1.1712344811431248e-05	4.984525314591518e-05	0.0	1.0	-0.9948201139500168	0.45345975752158924	0.0
orelha	2	12	0	14	-0.3978331784824064	2.3424689622862496e-05	5.437663979554384e-05	0.5384615384615384	0.463071015014588	-0.4558236132173299	0.3863204546839607	0.0
coluna	2	13	0	15	-0.43097493337871445	2.3424689622862496e-05	5.890802644517249e-05	0.5357142857142857	0.4642143127710313	-0.5248164847042812	0.3973702908705456	0.0
unha	8	12	0	20	0.26555470490576416	9.369875849144998e-05	5.437663979554384e-05	7.65625	0.005657597815064362	0.5737958039638285	0.029645510745228396	0.0
bochecha	0	6	0	6	-1.0	0.0	2.718831989777192e-05	0.0	0.0	0.0	0.5404711345112191	0.0
língua	2	6	0	8	-0.07436092638148753	2.3424689622862496e-05	2.718831989777192e-05	0.5714285714285714	0.4496917979688908	0.10379217471809282	0.2527890620594381	0.0
junta	2	3	0	5	0.26555470490576416	2.3424689622862496e-05	1.359415994888596e-05	0.625	0.42919530044034926	0.5737958039638285	0.029645510745228396	0.0
pêlo	1	4	0	5	-0.21493481891772195	1.1712344811431248e-05	1.8125546598514613e-05	0.0	1.0	-0.11935137659611691	0.3173275831970093	0.0
pulso	4	4	0	8	0.4420756510914419	4.684937924572499e-05	1.8125546598514613e-05	3.0	0.08326451666355043	0.7969393552780382	-0.15267604604872623	0.0
pele	10	1	0	11	0.9255042077296582	0.00011712344811431249	4.531386649628653e-06	14.85	0.00011640806991178394	1.3947763560336586	-1.8574241382871515	0.0
boca	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0
pálpebra	1	0	0	1	1.0	1.1712344811431248e-05	0.0	0.0	1.0	1.4900865358379833	0.0	0.0
nariz	1	0	0	1	1.0	1.1712344811431248e-05	0.0	0.0	1.0	1.4900865358379833	0.0	0.0
pupila	2	0	0	2	1.0	2.3424689622862496e-05	0.0	1.0	0.31731050786291115	1.4900865358379833	0.0	0.0
punho	2	0	0	2	1.0	2.3424689622862496e-05	0.0	1.0	0.31731050786291115	1.4900865358379833	0.0	0.0
coxa	2	0	0	2	1.0	2.3424689622862496e-05	0.0	1.0	0.31731050786291115	1.4900865358379833	0.0	0.0
calcanhar	1	0	0	1	1.0	1.1712344811431248e-05	0.0	0.0	1.0	1.4900865358379833	0.0	0.0
sobrancelha	0	0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.649358843232643
