word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
social	31460	121142	265	152867	-0.19671745148715242	0.3684703677676271	0.5489412415093142	34343.98859087802	0.0	-0.09076482883470008	0.3078662834482641	-4.708234872066087
aparencia	8087	17290	154	25531	0.09458884672045151	0.0947177324900445	0.07834767517207941	9218.678217734925	0.0	0.34045096986099793	0.15070603411574762	-3.4613372334265353
carater	4578	15695	49	20322	-0.14030068325750808	0.05361911454673226	0.0711201134659217	5025.0715624581735	0.0	-0.00035528569533128446	0.2821092817414463	-4.378280180702557
carater_emo	285	981	3	1269	-0.14226238384654166	0.0033380182712579058	0.004445290303285708	310.76613574873693	1.4870577351834655e-69	-0.0034087516077536064	0.28305912636219455	-4.398013335813634
outro	11589	19527	40	31156	0.21073160328870214	0.13573436401967673	0.08848438710729871	14135.250779657079	0.0	0.5011360651325354	0.07326241471187675	-5.00852382469326
aparencia_carater	323	1325	3	1651	-0.22692963068326524	0.0037830873740922932	0.006004087310757965	347.63282357821225	1.3887713158040687e-77	-0.14139758485948797	0.3205024290114137	-4.661165312019375
carater_social	394	2109	1	2504	-0.34873372642358974	0.004614663855703912	0.00955669444406683	422.6739069576359	6.389150802292012e-94	-0.35920728708407196	0.3687955827700045	-6.176285888987346
emo	1453	3703	9	5165	0.007051125131425418	0.017018037011009603	0.0167797247635749	1664.9198680117595	0.0	0.2218118178545274	0.2077093338710927	-4.703076960984877
aparencia_carater_social	58	136	0	194	0.04866329494864145	0.0006793159990630124	0.0006162685843494967	65.86269592476489	4.834560572521192e-16	0.28267138732107455	0.1852678611839429	0.0
aparencia_emo	55	139	0	194	0.011236853730944105	0.0006441789646287186	0.0006298627442983827	61.774938574938574	3.85043899269706e-15	0.2295615620071263	0.20708690857858256	0.0
emo_social	25	100	0	125	-0.21493481891772187	0.0002928086202857812	0.00045313866496286527	25.6	4.200393976022008e-07	-0.11935137659611691	0.3173275831970093	0.0
aparencia_social	78	76	0	154	0.4524649531852674	0.0009135628952916374	0.0003443853853717776	101.79108138238573	6.169731004483677e-24	0.8098427601139461	-0.165748127616079	0.0
caracter_emo_social	0	6	0	6	-1.0	0.0	2.718831989777192e-05	0.0	0.0	0.0	0.5404711345112191	0.0
