name,prob_fem
maria,0.99664304014384
ana,0.996721855826384
francisca,0.994480749460478
antonia,0.993198552668202
adriana,0.99586772494225
juliana,0.996251146614344
marcia,0.99665707071984
fernanda,0.99410947402278
patricia,0.996951408961238
aline,0.996349687437102
sandra,0.997608138573918
camila,0.996377971791441
amanda,0.996123765093304
bruna,0.99400709311657
jessica,0.996046119873266
leticia,0.9963914165297
julia,0.995889700399683
luciana,0.996216976780304
vanessa,0.996834098147732
mariana,0.995803196248177
gabriela,0.992550766409014
vera,0.997994471532638
vitoria,0.994019035024011
larissa,0.996346501955257
claudia,0.996330954063211
beatriz,0.996152669699257
rita,0.997659976599766
luana,0.995298905416784
sonia,0.997939299418105
renata,0.994795404047827
eliane,0.997648382133532
josefa,0.994679019048119
simone,0.997168860995186
natalia,0.996513840262908
cristiane,0.995310076340521
carla,0.995867566210772
debora,0.996470741876814
rosangela,0.997867406051678
jaqueline,0.996111479546447
rosa,0.997239439554143
aparecida,0.996697629134542
daniela,0.995415858828169
marlene,0.997234091887774
terezinha,0.997572206783776
raimunda,0.992468886646485
andreia,0.996165565407922
fabiana,0.995299921208592
lucia,0.997346457486012
raquel,0.99369795576349
angela,0.997352903198037
rafaela,0.991640516768054
joana,0.995714264529236
luzia,0.997412607936729
elaine,0.997510434779226
regina,0.997617410682535
daniele,0.991905995952998
sueli,0.997199326202859
daiane,0.995878756193098
alessandra,0.994417833380535
isabel,0.996933078521535
sara,0.996000614633397
bianca,0.996320304644546
flavia,0.995442574731514
erica,0.995828593098218
viviane,0.997361603313376
silvana,0.997637274781816
priscila,0.997006202717723
paula,0.99342250097719
luiza,0.996127352950513
tereza,0.997256871468734
isabela,0.996666420759484
marta,0.99675289936314
caroline,0.99559087845428
janaina,0.996779410997434
laura,0.996651610788937
marli,0.996084710891061
tatiane,0.996708564886589
marina,0.996250155843907
silvia,0.997090407636335
monica,0.997018584808513
tais,0.994988050326888
michele,0.992712979510205
solange,0.997595769353807
edna,0.997199567160291
fatima,0.997117369991367
helena,0.997337935432282
cristina,0.997457160946144
alice,0.995682929366483
carolina,0.996213804969119
rosana,0.997494286133652
andressa,0.995665938041758
celia,0.99772377463201
valeria,0.997024261214578
eliana,0.997867206094953
sabrina,0.996626642841636
andrea,0.993497790952559
tania,0.997879588431591
barbara,0.996270616661414
thais,0.995259992925363
denise,0.99616690783451
roseli,0.995844441423175
gisele,0.996594957149683
marilene,0.99726874015317
katia,0.99766619216647
eva,0.99737951676302
milena,0.9961833980961
eduarda,0.989060991864687
elisangela,0.997766250695925
vilma,0.995699411498416
geovana,0.99305197970519
luciene,0.997075922328755
tamires,0.99431513759872
tatiana,0.997173164656162
roberta,0.99269259437281
elza,0.997500017655243
talita,0.996114632520809
marcela,0.992592117728344
pamela,0.995779038053595
vania,0.997605566148964
irene,0.994996218071798
